City       TMR       SMIN    SMEAN    SMAX    PMIN    PMEAN    PMAX     PM2       PERWH     NONPOOR    GE65    LPOP
 ST.LOUI     1004      60     182      299     63      168      295      64.6     85.5      84.9       93    63.1389
 ATLANTIC    1338      54      75      110     25       71      118      28.0     82.3      77.0      140    52.0650
 NEWORLE     1027      49      96      187     62       87      117      77.7     69.0      75.7       73    59.3876
 LASVEGA      727      31      79      201     50      145      389       1.6     90.5      88.7       45    51.0386
 LITTLER      910      19      61      175     29       72      147      31.7     78.5      74.0       86    53.8557
 SANFRAN      925      16      62      202     32       70      183      84.0     87.5      88.1       90    64.4457
 RALEIGH      801      34      49       97     39       80      132      19.6     73.9      70.9       65    52.2810
 OKLAHOMA     812      18      26       63     42       84      173      24.0     90.6      81.4       79    57.0913
 WORCESTE    1082      71      90      204     32       99      229      38.5     99.3      87.2      116    57.6584
 GARY         796     113     190      290     56      170      420      61.1     84.7      89.1       62    57.5857
 PITTSBUR    1031      55     150      345     43      166      475      78.8     93.2      85.3       95    63.8119
 WACO         914      20      28       88     10       76      156      14.5     83.9      70.2       98    51.7635
 MANCHEST    1102      35      76      129     32       66      156      20.0     99.7      86.8      109    52.5081
 TERREHA     1294      63     135      214     53      118      203      26.1     95.5      78.1      123    50.3526
 ALLENTOW    1059     129     146      305     60      135      261      45.5     99.2      86.4      104    56.9211
 RICHMOND     974      49     115      214     26       82      206      56.3     73.6      83.2       82    56.1119
 HOUSTON      716      18      65      171     26      117      385      72.7     79.9      81.9       54    60.9453
 NEWARK      1017      54     131      297     42      113      232     242.0     86.6      89.6       94    62.2774
 BIRMINGH     943      55     145      341     38      146      400      56.8     65.4      74.2       77    58.0268
 SHREVEPO     891      84      88      272     47      104      197      16.3     65.9      69.6       74    54.4945
 COLUMBIA     727      11      84      167     55      112      274      17.9     71.0      69.2       59    54.1635
 BROCKTON    1139      46     142      332     30       79      165      37.4     98.0      87.7      113    53.9524
 TAMPA       1259      60     105      197     48       94      233      59.2     88.5      70.0      171    58.8787
 LANSING      799      46      57      226     34       76      160      17.6     97.2      85.6       78    54.7560
 KANSASC      969      38     141      350     70      142      343      63.3     88.6      85.9       92    60.1682
 BUFFALO     1012      59     114      193     23      131      978      84.6     91.5      93.2       99    61.2872
 SANBERN      901      18     131      282     39      140      255       4.0     94.3      89.7      109    60.4525
 SPOKANE     1045      14      36       66     19      101      409      16.3     97.7      91.4      111    54.5723
