"make" "address" "all" "xd" "our" "over" "remove" "internet" "order" "mail" "receive" "will" "people" "report" "addresses" "free" "business" "email" "you" "credit" "your" "font" "x000" "money" "hp" "hpl" "george" "x650" "lab" "labs" "telnet" "x857" "data" "x415" "x85" "technology" "x1999" "parts" "pm" "direct" "cs" "meeting" "original" "project" "re" "edu" "table" "conference" "x." "x.." "x...1" "x..1" "x..2" "x..3" "crla" "crll" "crrt" "classdigit" "class" "classdigit.1" "X" "V1" "X.1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .729 0 .729 0 0 3.833 9 23 1 "spam" "1" 1 0 "1"
.05 .07 .1 0 .76 .05 .15 .02 .55 0 .1 .47 .02 0 0 0 .02 .13 2.09 .1 1.57 0 .05 0 0 0 0 0 0 0 0 0 0 0 0 .02 .1 0 0 0 0 0 0 0 0 0 0 0 .042 .101 .016 .25 .046 .059 2.569 66 2259 1 "spam" "1" 1 0 "1"
0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .404 .404 0 .809 0 0 4.857 12 34 1 "spam" "1" 1 0 "1"
0 0 0 0 1.16 0 0 0 0 0 0 .58 0 0 0 1.16 0 1.16 1.16 0 1.75 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .133 0 .667 0 0 1.131 5 69 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.44 0 0 0 0 .196 0 .392 .196 0 5.466 22 82 1 "spam" "1" 1 0 "1"
.05 .07 .1 0 .76 .05 .15 .02 .55 0 .1 .47 .02 0 0 0 .02 .13 2.09 .1 1.57 0 .05 0 0 0 0 0 0 0 0 0 0 0 0 .02 .1 0 0 0 0 0 0 0 0 0 0 0 .042 .101 .016 .25 .046 .059 2.565 66 2258 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.44 0 0 0 0 .196 0 .392 .196 0 5.466 22 82 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 1.66 0 0 0 0 0 0 0 0 0 0 0 3.33 0 0 0 0 3.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .368 0 0 2.611 12 47 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .352 0 .352 0 0 4 11 36 1 "spam" "1" 1 0 "1"
0 0 0 0 .65 0 .65 0 0 0 .65 .65 0 0 0 .65 1.3 0 1.3 5.22 1.3 0 0 .65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .459 0 .091 0 0 2.687 66 129 1 "spam" "1" 1 0 "1"
1.17 0 0 0 0 0 0 0 0 0 0 1.17 0 0 0 0 1.17 0 3.52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.17 0 0 0 0 0 0 .886 0 0 1.966 10 59 1 "spam" "1" 1 0 "1"
0 0 3.03 0 0 0 0 0 0 0 0 0 0 0 0 3.03 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .352 0 2.112 0 0 3.909 11 43 1 "spam" "1" 1 0 "1"
0 0 0 0 1.89 .27 0 0 0 0 0 .81 0 0 0 .27 0 0 3.51 0 2.7 0 0 .27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .045 0 0 .091 0 1.39 11 89 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.83 4.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .302 0 1.7 5 17 1 "spam" "1" 1 0 "1"
0 .68 0 0 0 0 0 0 0 .68 1.36 0 0 0 0 0 0 0 2.04 0 .68 0 0 0 .68 0 0 .68 0 0 1.36 0 0 0 .68 0 1.36 0 0 0 0 0 0 0 0 0 0 0 0 0 .185 0 0 0 3.826 30 264 1 "spam" "1" 1 0 "1"
0 0 2.56 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .308 0 1.543 0 0 2.777 6 25 1 "spam" "1" 1 0 "1"
0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .436 .436 0 .873 0 0 4.142 12 29 1 "spam" "1" 1 0 "1"
0 0 .48 0 1.46 0 .48 0 0 0 0 .97 0 0 0 .48 .97 0 2.43 0 2.43 0 .48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .48 0 0 0 0 .081 0 .488 .244 0 5.431 78 239 1 "spam" "1" 1 0 "1"
0 .48 .48 0 .48 0 0 0 0 0 0 .97 0 0 0 .48 0 .97 1.46 0 .97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .08 0 .963 0 0 3.1 61 186 1 "spam" "1" 1 0 "1"
0 .41 1.66 0 .41 0 0 0 0 0 0 .41 0 0 0 .41 0 .83 2.08 0 1.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .41 0 0 0 0 .068 0 .75 0 0 3.851 121 285 1 "spam" "1" 1 0 "1"
.3 0 0 0 .61 .92 0 2.45 0 0 0 .3 1.53 0 0 0 0 .3 2.76 0 .61 0 .3 .61 0 0 0 0 0 0 0 0 0 0 0 0 .3 0 0 0 0 0 0 0 0 0 0 0 0 .051 0 .207 .207 0 2.132 30 226 1 "spam" "1" 1 0 "1"
0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .335 .335 0 .671 0 0 4 12 28 1 "spam" "1" 1 0 "1"
0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 2.94 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .355 .355 0 .711 0 0 4 12 28 1 "spam" "1" 1 0 "1"
0 0 .55 0 1.11 0 .18 0 0 0 0 .18 .92 0 .18 0 .37 .37 3.15 0 .92 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .182 0 .426 0 0 1.283 4 68 1 "spam" "1" 1 0 "1"
0 0 0 0 .52 0 .26 .52 0 .26 .26 .52 0 0 0 .26 1.56 .26 1.82 2.08 .26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .073 0 .813 .036 .147 2.145 38 339 1 "spam" "1" 1 0 "1"
.15 .45 1.05 0 .45 0 0 1.81 .6 .75 0 .9 .3 0 .3 0 0 0 4.07 0 1.51 0 0 .3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .15 0 0 0 0 .25 0 1.318 .068 0 5.301 130 774 1 "spam" "1" 1 0 "1"
.18 0 .18 0 1.57 .36 .06 .06 .06 .12 .06 .54 .3 .06 0 0 .72 .06 4.54 .24 1.09 0 .84 .06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .06 0 .06 0 0 0 .01 .052 0 .01 .167 0 1.733 12 442 1 "spam" "1" 1 0 "1"
.49 0 .99 0 0 .99 0 0 0 .99 .99 2.48 .49 0 0 4.97 .99 0 3.48 0 1.99 0 .49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .34 0 .17 0 0 1.468 8 94 1 "spam" "1" 1 0 "1"
.46 .3 .46 0 .05 .12 .05 .28 .43 .74 .25 .97 .56 1.23 0 .25 .43 .02 3.22 0 1.46 0 1.05 .36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .02 0 0 0 0 .065 0 .325 .756 .153 5.891 193 3040 1 "spam" "1" 1 0 "1"
.46 .46 .26 0 0 .33 .06 .33 0 1.12 .39 .73 .79 0 .26 .26 0 .26 3.51 0 .66 0 .19 .26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .036 .084 0 .278 .23 .084 3.887 40 898 1 "spam" "1" 1 0 "1"
0 1.92 0 0 1.92 0 0 0 0 0 0 1.92 0 0 0 0 0 0 1.92 0 3.84 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.75 12 33 1 "spam" "1" 1 0 "1"
.73 .36 1.09 0 0 .73 .73 1.09 .36 .36 0 .36 0 0 0 1.09 .36 .36 2.19 2.19 2.19 0 1.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .11 0 .498 .332 0 3.254 30 179 1 "spam" "1" 1 0 "1"
.06 .12 .77 0 .19 .32 .38 0 .06 0 0 .64 .25 0 .12 0 0 .12 1.67 .06 .7 0 .19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .06 0 0 0 0 .04 .03 0 .244 .071 0 1.732 43 750 1 "spam" "1" 1 0 "1"
0 1.26 0 0 0 1.26 0 0 0 0 0 1.26 0 0 0 0 0 0 0 0 1.26 0 0 1.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.26 0 0 0 0 .198 0 .198 .596 0 3.833 17 69 1 "spam" "1" 1 0 "1"
.73 .36 .73 0 0 .73 .73 1.1 .36 .36 0 .36 0 0 0 1.1 .36 .36 2.2 2.2 2.2 0 1.83 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .111 0 .5 .333 0 3.259 30 176 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.08 0 0 1.08 0 2.17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.478 0 0 2 30 106 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 1.04 0 0 0 0 1.04 0 0 0 0 1.04 0 3.66 0 2.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .061 .246 0 .615 .061 .061 3.318 59 146 1 "spam" "1" 1 0 "1"
0 0 1.26 0 0 0 0 0 0 0 0 2.53 0 0 0 0 0 0 2.53 0 5.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.642 8 51 1 "spam" "1" 1 0 "1"
0 .45 .45 0 .45 0 0 0 0 0 0 .45 0 0 0 .45 0 .91 1.36 0 1.36 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.501 0 0 2.777 61 200 1 "spam" "1" 1 0 "1"
0 .42 1.68 0 .42 0 0 0 0 0 0 .42 0 0 0 .42 0 .84 2.1 0 1.68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .42 0 0 0 0 .066 0 .669 0 0 3.837 121 284 1 "spam" "1" 1 0 "1"
0 .59 0 0 0 0 .59 0 0 .59 0 .59 0 0 0 0 0 1.18 1.77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .257 0 0 0 0 8.586 66 249 1 "spam" "1" 1 0 "1"
.23 0 .47 0 .23 0 0 0 0 0 0 0 0 .23 0 .23 .23 0 7.1 0 1.89 0 0 .23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .71 0 0 0 .043 .043 0 .175 0 0 1.294 11 66 1 "spam" "1" 1 0 "1"
0 0 .46 0 1.39 0 .93 .93 0 0 .46 .93 0 0 0 1.39 0 .46 .93 0 .46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .46 0 0 0 0 0 0 0 0 0 0 .069 0 0 0 0 .069 1.442 8 75 1 "spam" "1" 1 0 "1"
0 .34 0 0 .68 0 .68 0 0 .34 .34 0 0 0 0 .34 0 1.36 3.42 0 2.73 0 0 0 .34 .34 0 0 0 0 0 0 .34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .048 .048 0 1.411 15 96 1 "spam" "1" 1 0 "1"
.12 .24 .12 0 1.32 .36 0 .36 0 0 .36 .72 0 0 0 0 0 0 4.1 0 3.01 0 .12 0 0 0 0 0 0 0 0 0 .12 0 0 0 .12 0 0 .12 0 0 0 0 0 0 0 0 0 .059 0 .019 .019 0 1.714 34 180 1 "spam" "1" 1 0 "1"
.66 0 .66 0 0 0 0 0 0 .66 0 0 0 0 0 1.98 1.32 0 1.32 0 1.32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.205 0 0 3.184 34 121 1 "spam" "1" 1 0 "1"
0 .48 .48 0 1.46 0 .48 0 0 .97 .48 0 0 0 0 .48 0 0 .97 .48 1.95 0 0 .48 0 0 0 0 0 0 0 0 0 0 0 0 1.46 0 0 .48 0 0 0 0 0 0 0 0 0 .073 0 .589 .294 0 4.85 47 194 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 1.47 0 0 1.47 0 1.47 0 0 0 0 0 0 5.88 0 1.47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .5 0 0 1.214 3 17 1 "spam" "1" 1 0 "1"
.3 0 .61 0 0 0 0 0 0 .92 .3 .92 .3 .3 0 2.15 .61 0 5.53 0 1.23 0 0 .3 0 0 0 0 0 0 0 0 0 .3 0 0 0 0 0 0 0 0 0 0 .3 0 0 0 0 .1 0 1.053 .351 .25 3.884 66 303 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96 0 0 0 0 0 0 0 0 0 0 0 0 0 1.96 0 0 0 0 0 0 0 0 0 0 0 0 .201 0 0 .1 0 4.548 59 141 1 "spam" "1" 1 0 "1"
0 0 0 0 1.26 0 2.53 1.26 1.26 1.26 1.26 1.26 0 0 0 0 5.06 0 2.53 1.26 3.79 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .537 0 0 72.5 287 290 1 "spam" "1" 1 0 "1"
0 .53 .53 0 .53 0 0 0 0 0 0 .53 0 0 0 .53 0 1.06 1.6 0 1.06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .087 0 .877 0 0 3.4 61 187 1 "spam" "1" 1 0 "1"
0 .44 .89 0 .44 0 0 0 0 0 0 .44 0 0 0 .44 0 .89 2.24 0 1.34 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .44 0 0 0 0 .073 0 .807 0 0 3.849 121 281 1 "spam" "1" 1 0 "1"
0 .46 .46 0 .46 .46 .46 0 0 0 .46 .46 0 0 0 .92 0 .92 2.76 0 1.38 0 .46 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .46 0 0 0 0 .46 0 0 0 0 0 0 .298 .223 0 2.156 13 110 1 "spam" "1" 1 0 "1"
0 0 .48 0 1.44 0 .48 0 0 0 0 .96 0 0 0 .48 .96 0 2.41 0 2.41 0 .48 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .48 0 0 0 0 .081 0 .486 .243 0 5.13 78 236 1 "spam" "1" 1 0 "1"
0 .94 .94 0 0 0 0 0 0 .94 0 0 0 0 0 2.83 0 0 .94 0 .94 0 1.88 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.366 0 0 26.5 245 318 1 "spam" "1" 1 0 "1"
0 0 1.77 0 0 0 0 0 0 0 0 .59 0 0 0 0 0 .59 4.14 0 1.18 0 0 0 0 0 0 0 0 0 0 0 .59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .165 0 .165 .082 0 2.325 16 100 1 "spam" "1" 0 1 "0"
.75 .18 .37 0 .18 .12 0 .25 .75 .31 .25 1.51 .31 .37 0 .37 .44 .12 2.96 .69 1.26 0 .44 .75 0 0 0 0 0 0 0 0 0 0 0 0 .12 0 0 .12 0 0 .06 0 0 0 0 0 0 .085 .053 .437 .234 .064 3.675 45 1066 1 "spam" "1" 1 0 "1"
0 .41 .2 0 1.67 .2 .2 0 0 1.04 .2 0 .2 0 0 .83 .2 0 2.09 0 .62 0 .62 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .41 .62 0 .2 0 0 0 .132 0 0 1.65 15 175 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.26 5.26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .338 0 1.666 5 10 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.55 0 1.11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.431 0 0 4.071 29 114 1 "spam" "1" 1 0 "1"
0 0 .23 0 0 0 .23 0 0 .95 0 .47 0 .23 0 .23 .95 0 2.38 0 1.9 0 0 .47 0 0 0 0 0 0 0 0 0 0 0 .23 .23 0 0 0 0 0 0 0 0 0 0 0 0 .123 0 .197 0 .024 5.038 280 519 1 "spam" "1" 1 0 "1"
0 .72 .72 0 0 0 0 1.45 0 0 .72 0 0 0 0 2.91 0 .72 1.45 0 0 0 .72 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .123 0 .495 0 0 1.525 8 61 1 "spam" "1" 1 0 "1"
0 0 1.28 0 1.28 1.28 0 0 0 0 0 0 0 0 0 1.28 0 0 2.56 0 1.28 0 1.28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .181 0 .724 0 0 3.071 9 43 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .278 0 .834 0 0 5.13 27 118 1 "spam" "1" 1 0 "1"
0 .46 .46 0 1.4 0 .46 1.86 0 .93 .46 0 0 0 0 1.86 0 0 .93 .46 1.4 0 0 .46 0 0 0 0 0 0 0 0 0 0 0 0 1.4 0 0 .46 0 0 0 0 0 0 0 0 0 .071 0 .571 .214 0 4.63 64 213 1 "spam" "1" 1 0 "1"
0 0 .38 0 1.15 .76 0 0 0 0 0 .38 .38 0 0 .38 0 .38 2.69 0 2.3 0 0 .38 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .122 0 .061 .061 0 1.775 20 158 1 "spam" "1" 1 0 "1"
0 .79 0 0 0 0 0 0 0 0 0 0 0 0 0 .79 1.58 1.58 3.96 0 1.58 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .79 0 0 0 0 .268 0 .268 0 0 2.815 26 107 1 "spam" "1" 1 0 "1"
.06 .06 .47 0 .4 0 0 0 .67 .06 0 .33 .13 0 0 .2 0 0 1.14 .13 1.21 0 0 .06 0 0 0 0 .06 0 0 0 0 0 0 0 0 0 0 0 0 .13 0 0 .06 0 0 0 .021 .107 0 .096 .085 .01 3.353 144 845 1 "spam" "1" 1 0 "1"
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.09 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.153 0 0 0 0 3.8 23 38 1 "spam" "1" 1 0 "1"
0 .56 1.12 0 2.24 0 1.12 0 0 0 0 .56 .56 0 0 .56 2.8 0 3.93 0 1.68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 .25 0 1.083 .333 0 4.974 140 194 1 "spam" "1" 1 0 "1"
