id,RoleType,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
123,3,5,3,4,5,2,2,2,2,2,2,2,7
124,3,9,9,9,9,8,8,8,8,6,7,6,9
125,3,8,8,7,9,3,3,3,5,4,5,6,8
126,3,9,9,9,9,9,8,8,9,6,7,8,8
127,3,9,9,8,9,8,8,8,8,8,7,8,9
128,3,9,9,7,9,7,7,7,6,8,7,8,7
129,3,3,3,7,3,7,5,6,3,7,3,6,6
130,3,9,9,8,9,6,7,7,7,7,7,8,8
131,3,8,8,6,7,3,5,4,5,8,6,8,8
132,3,5,5,5,5,2,3,3,2,6,6,5,5
133,3,7,6,8,8,5,5,5,6,5,4,5,8
134,3,8,8,9,8,6,6,6,7,8,7,8,8
135,3,8,8,9,8,8,9,8,8,7,3,7,7
136,3,7,6,8,8,4,4,4,6,8,6,7,8
137,3,8,8,8,8,2,2,2,2,1,1,6,4
138,3,8,7,8,9,6,7,5,7,6,8,6,6
139,3,7,8,8,7,6,7,6,7,4,8,8,9
140,3,9,9,7,8,7,8,7,8,5,6,8,8
141,3,8,7,7,8,6,7,8,7,7,6,6,7
142,3,8,7,6,7,6,6,6,6,7,2,5,8
143,3,7,7,7,5,3,2,5,3,9,3,7,4
144,3,8,8,8,8,9,8,8,8,8,8,8,7
145,3,8,7,8,7,3,5,5,5,6,8,5,6
146,3,7,7,6,7,6,5,6,7,7,5,7,6
147,3,8,8,7,8,5,6,5,6,6,3,5,3
148,3,5,7,5,7,6,6,6,6,5,5,6,7
149,3,9,9,9,9,7,7,7,7,9,9,9,7
150,3,8,8,7,8,5,5,5,7,1,5,6,8
151,3,8,5,8,8,8,8,8,8,7,2,6,6
152,3,9,9,9,9,5,6,5,9,9,8,8,5
153,3,9,9,8,9,8,8,8,9,8,9,8,8
154,3,8,8,8,8,7,7,7,8,8,8,7,7
155,3,6,5,5,5,3,2,3,2,1,2,5,3
156,3,5,5,3,5,5,5,5,7,5,3,7,7
157,3,7,6,7,7,3,3,4,4,3,6,7,4
158,3,7,6,6,7,5,5,7,6,7,4,8,6
159,3,9,8,9,9,6,6,6,7,7,9,8,9
160,3,7,7,7,7,6,6,6,2,8,8,6,7
161,3,8,8,3,7,5,5,5,4,7,5,6,7
162,3,8,8,8,8,8,8,8,9,7,3,7,2
163,3,9,9,9,9,1,1,1,1,6,5,6,9
164,3,9,9,9,9,6,6,7,6,6,3,8,7
165,3,7,7,6,7,6,7,6,6,6,7,5,6
166,3,9,5,9,8,9,9,9,3,9,8,9,7
167,3,9,7,9,7,8,7,8,7,5,7,6,7
168,3,5,3,6,3,3,2,3,5,6,2,2,2
169,3,9,8,7,7,7,7,7,9,7,8,7,6
170,3,9,9,7,9,1,1,3,2,4,3,8,5
171,3,8,8,7,7,5,7,7,7,7,4,4,7
172,3,6,7,5,6,6,6,6,6,4,5,6,4
173,3,9,8,9,8,9,9,9,9,6,7,6,7
174,3,9,9,8,9,2,5,5,6,7,5,8,7
175,3,6,6,7,8,6,5,6,5,6,7,7,6
176,3,8,8,5,9,7,3,3,3,5,7,8,7
177,3,9,9,8,9,9,8,9,9,7,6,6,5
178,3,8,8,7,8,3,3,7,4,5,5,5,7
179,3,7,7,7,8,5,5,5,6,6,6,7,7
180,3,8,8,8,7,4,4,4,7,5,8,8,7
181,3,8,8,8,9,5,8,5,6,8,8,6,7
182,3,8,8,8,8,6,6,6,6,7,8,8,7
183,3,9,9,9,9,8,8,8,8,9,7,7,8
184,3,9,7,5,7,5,6,5,5,4,5,3,8
185,3,9,9,9,9,8,7,8,7,5,7,9,9
186,3,6,7,5,4,5,5,5,3,5,5,5,5
187,3,9,8,8,9,7,6,7,7,6,7,7,7
188,3,9,9,9,9,8,8,8,8,6,6,7,8
189,3,6,5,6,7,1,2,1,2,2,4,6,5
190,3,9,9,9,9,8,7,7,9,8,9,9,9
191,3,9,9,9,9,4,5,4,4,4,5,6,9
192,3,9,9,8,7,3,3,3,5,5,7,7,9
193,3,9,9,6,9,8,5,5,9,4,9,8,7
194,3,8,7,6,6,7,8,7,9,6,8,9,8
195,3,6,6,5,6,7,6,7,8,6,7,9,6
196,3,6,6,4,5,5,4,5,5,6,4,2,6
197,3,9,9,9,9,9,6,7,9,6,6,6,7
198,3,6,5,5,5,3,5,3,3,3,3,6,7
199,3,6,4,4,6,8,8,8,8,8,7,8,6
200,3,4,4,7,4,2,1,2,2,2,3,6,8
